key;date;channel_1;channel_2;channel_3;channel_4;channel_5;channel_6;channel_7;channel_8;channel_9;channel_10;channel_11;channel_12;channel_13;channel_14;channel_15
10873;01Jan2012;0,0;0,855200896;;;0,562592649;102,6826897;532,8001998;0,0;0,0;14,37920465;15,6747998;7,67887574;;283,0593947;100,5651558
10873;01Feb2012;1,035034061;11,77497008;;;19,11507598;1205,408087;5725,40246;0,942430628;0,059615653;464,5125313;-0,851156442;1,573846713;;696,3266027;36,36831777
10873;01Mar2012;0,0;6,150735897;;;3,034531719;235,9980288;11,59782782;0,946788953;0,0;138,2719834;0,184595438;35,72265778;1,010453792;482,6927958;216,9931568
10873;01Apr2012;0,0;154,1882427;;67,76132447;84,68775243;7,956305617;18,02922893;0,0;0,0;794,104038;6,207352936;54,79583713;;604,2100805;11,48697136
10873;01May2012;0,0;4,072810814;;;0,213474266;484,5137221;14,58790969;0,944704105;0,0;1831,859214;402,2268407;55,74708352;;247,6237847;0,0
10873;01Jun2012;;4432,892958;;;599,4075385;17406,36233;;0,0;0,0;2260,067644;116,1462553;0,0;23,55488649;158,425901;13,64545031
10873;01Jul2012;0,0;2793,394193;;;483,3275522;2,001765167;747,7459894;0,931182631;0,0;740,3849245;590,8039259;1,646315441;;345,6021327;58,75443889
10873;01Aug2012;0,062817269;252,2476693;;;19,74638348;608,0320392;35,71963998;0,926608647;0,0;23,94885134;;0,0;;345,838268;10,6925307
10873;01Sep2012;0,0;0,621533814;;;2,328829934;484,6298887;1344,184622;0,92654263;0,0;100,1952177;1,270807434;-1,719440901;;419,0750849;1202,580073
10873;01Oct2012;0,0;6,843710886;;1,588260008;1,572052618;35,8543103;0,220641916;0,927330514;2,48365944;795,9488897;0,0;0,0;0,0;857,2009924;1138,579928
10873;01Nov2012;10,50319746;1,317528359;;;1,032149637;;4,356481741;0,0;0,068347304;91,40966903;0,270907125;12,39412837;;247,4958357;0,638362925
10873;01Dec2012;0,0;0,918245815;;1,62181782;3,924630852;15,77760975;3,570788013;0,0;0,0;0,190480313;0,227991349;;52,75140874;112,5252488;
10873;01Jan2013;0,0;0,28968672;;0,787759159;11,41722241;768,470951;1,423297476;0,0;;1003,817686;19,36029668;2,237220905;;354,4017364;-0,216406974
